title,category,stage,TS
Site Signage,Pre Construction,,700
Req Strip Drain,Construction,,743
Req Kitchen Benchtop Material,Construction,,745
Req Travel,Construction,,750
Req Concrete,Construction,,755
Req Kitchen Profit - Do Not Pay,Pre Construction,,756
Req Miscellaneous Items,Pre Construction,,757
Pay Reimbursment Cost,Finance,,758
Req Plaster,Construction,,764
Purchase Plaster Board,Construction,,765
Carpentry as Required,Construction,,766
Do Traffic Managment Plan,Pre Construction,,767
Do Headworks Water,Pre Construction,,768
Do Infrastracture charges (Headworks),Pre Construction,,769
Req Traffic Mangement,Pre Construction,,770
Req Driveway Cross Over,Pre Construction,,771
Req Performance Solution,Pre Construction,,772
Req Upgrade water Connection,Pre Construction,,773
Req NBN Design,Pre Construction,,774
Req Extra Work Place Health and Safety,Pre Construction,,776
Req Generator,Construction,,784
Pay 1st Progress Payment Overhead Fee,Finance,,785
Pay PC Defects Admin Overhead,Finance,,787
Remove Front Entry,Pre Construction,,788
Do Form Work,Construction,,789
Feaso Retail Profit,Admin,,796
Feaso Contingency,Admin,,797
Req Client Rebate,Finance,,799
Req Road Base,Pre Construction,,800
Req Concrete Footpath Civil,Pre Construction,,801
Pay Overhead Enclosed,Finance,05 Enclosed,781
Req SDA Auto Desk Stand For Kitchen,Construction,05 Enclosed,741
ENCLOSED,Construction,05 Enclosed,625
FIXING,Construction,06 Fixing,626
Req Kitchen Material ,Construction,06 Fixing,746
Pay Overhead Fixing,Finance,06 Fixing,782
Pay Overhead Frame,Finance,04 Frame,780
Extra Frame Timber,Construction,04 Frame,738
Extra Frame Hardware,Construction,04 Frame,739
Extra Soffit and Cladding,Construction,04 Frame,740
Req Parti Wall,Construction,04 Frame,744
FRAME,Construction,04 Frame,627
SLAB,Construction,03 Slab,643
Pay Overhead Slab,Finance,03 Slab,779
Req Water Meter,Construction,03 Slab,736
Req Formwork,Construction,03 Slab,793
Req Pool,Construction,07 Practical Completion,777
Pay Overhead Practical Completion,Finance,07 Practical Completion,783
Pay 2nd Progress Payment Overhead Fee,Finance,07 Practical Completion,786
SDA Approval,Pre Construction,07 Practical Completion,759
SITE CLEAN,Construction,07 Practical Completion,709
LANDSCAPING,Construction,07 Practical Completion,710
Req SDA Manual Adjustable Desks Kitchen,Construction,07 Practical Completion,720
PRACTICAL COMPLETION,Construction,07 Practical Completion,623
Variation Paid,Construction,"Variation",702
Variation Un-Paid,Construction,"Variation",703
HANDOVER,Construction,09 Handover,624
SITE COST - POWER - GAS - TEMP FENCING,Construction,02 Deposit,712
Pay Overhead Deposit,Finance,02 Deposit,778
Req Expansion Joints,Construction,09 Handover,719
Req Tree Removal Application,Pre Construction,01 Pre Construction,616
Req Water Connection,Pre Construction,01 Pre Construction,617
Req Stormwater,Pre Construction,01 Pre Construction,795
Req Timber,Construction,01 Pre Construction,792
Relaxation,Pre Construction,01 Pre Construction,701
Req Town Planner,Construction,01 Pre Construction,753
Req Wastewater,Pre Construction,01 Pre Construction,742
Req Toll ,Finance,08 Site Costs,715
Req Spoon Drain,Construction,08 Site Costs,790
Req Drainage,Construction,08 Site Costs,791
SITE COSTS,Construction,08 Site Costs,621
Req Painter External Ground Floor,Construction,07 Practical Completion,660
Req Painter Touch Ups,Construction,07 Practical Completion,401
Req Painter to Seal Deck,Construction,06 Fixing,718
Req Painter External House,Construction,06 Fixing,397
SPO - Painter First Floor External ( When Scaffold is Up),Construction,06 Fixing,399
Req Painter Internal  House,Construction,06 Fixing,400
Req Carpenter Fixout,Construction,06 Fixing,245
Req Carpenter to Install Ply to Wet Areas,Construction,06 Fixing,737
Req Carpenter Deck Labour,Construction,04 Frame,243
Req Carpenter First Floor,Construction,04 Frame,244
Req Carpenter Ground Floor,Construction,04 Frame,247
Req Carpenter Install Win and Doors,Construction,05 Enclosed,723
Req Carpenter Cladding,Construction,05 Enclosed,242
Req Carpenter Install Win and Bath and Doors,Construction,05 Enclosed,249
Req Carpenter Soffits First Floor,Construction,05 Enclosed,250
Req Carpenter Soffits and Cladding,Construction,05 Enclosed,251
Req Carpenter Straighten Frame,Construction,05 Enclosed,252
